Dependent Variable,Product,Geography,Variables,Detailed Group,Broad Group,Historical Dep. Variable Sum,Take Rate Elasticity,Base in Latest Week,Life Curve in Latest Week,Life Curve Annual Decay Rate,Historical Spend Full Model Period,Historical Raw Causal Sum Full Model Period,"Historical Causal Sum After Adstocking, Full Model Period",Historical Causal Sum After Adstocking And Curve Applied,Corporate Activity,Coefficient,Driver1,Symmetry,Volume1,Linearity Increment,Linearity Weight,SPEND_A,SPEND_B,SPEND_C,SPEND_D,SUPPORT_A,SUPPORT_B,SUPPORT_C,SUPPORT_D,Media Metric,CPP Measure,Start Date_Full_Model,End Date_Full_Model,CPP_Full_Model,Spends_Full_Model,Number of Weeks_Full_Model,Total Sales_Full_Model,Total Base Sales_Full_Model,Avg Causal Raw_Full_Model,Execution Weeks_Full_Model,Decomps_Full_Model,MSRP_Full_Model,ST ROI_Full_Model,Elasticity_Full_Model,Start Date_Latest_Year,End Date_Latest_Year,CPP_Latest_Year,Spends_Latest_Year,Number of Weeks_Latest_Year,Total Sales_Latest_Year,Total Base Sales_Latest_Year,Avg Causal Raw_Latest_Year,Execution Weeks_Latest_Year,Decomps_Latest_Year,MSRP_Latest_Year,ST ROI_Latest_Year,Elasticity_Latest_Year,Start Date_Prior_Year,End Date_Prior_Year,CPP_Prior_Year,Spends_Prior_Year,Number of Weeks_Prior_Year,Total Sales_Prior_Year,Total Base Sales_Prior_Year,Avg Causal Raw_Prior_Year,Execution Weeks_Prior_Year,Decomps_Prior_Year,MSRP_Prior_Year,ST ROI_Prior_Year,Elasticity_Prior_Year
Sales,Refrigerator,National,Digital - Display REFRIGERATOR NAT,DIGITAL,Media,882289,0,2573.941388,1,0,360332,39215.83875,39254.1729,0.005162024,0,96.93697428,0.0005,2,1,0,0,8048.087439,15600.0599,"24,718",37373.99509,729.2871094,1413.618164,2239.810547,3386.689453,Impressions,CPP,06-Dec-15,02-Dec-18,9.188430274,360332,157,882289,838007.7575,249.7824124,32,1313.670586,2810,12.378366,,10-Dec-17,02-Dec-18,11.03555422,354332,52,314667,287462,617.4657644,26,1067.895721,3467.979553,10.75446331,,11-Dec-16,03-Dec-17,0.844164551,6000,52,315772,309769.2909,136.6849808,6,245.774865,2677.81696,108.2784806,
Sales,Refrigerator,National,Digital - Facebook REFRIGERATOR,DIGITAL,Media,882289,0,2573.941388,1,0,178641.9503,5535.9255,6718.422313,0.000531479,0,209.4587732,0.00125,2,1,0,0,7839.076383,15168.07588,"24,027",36376.53596,240.6056319,465.5554179,737.4727416,1116.509011,Impressions,CPP,06-Dec-15,02-Dec-18,32.26957269,178641.9503,157,882289,838007.7575,35.26067197,23,734.1488041,2810,14.97910187,,10-Dec-17,02-Dec-18,32.58060221,178029.5298,52,314667,287462,105.0823058,18,733.4110431,3467.979553,15.02045014,,11-Dec-16,03-Dec-17,0,0,52,315772,309769.2909,0,0,0,2677.81696,0,
Sales,Refrigerator,National,Digital - YouTube REFRIGERATOR,DIGITAL,Media,882289,0,2573.941388,1,0,92886.09863,8062.461,9345.247601,0.054877246,0,311.1992323,0.000425,2,1,0,0,8528.000115,16539.15174,"26,210",39658.18235,740.2256027,1435.589048,2275.029038,3442.307873,Impressions,CPP,06-Dec-15,02-Dec-18,11.52081215,92886.09863,157,882289,838007.7575,51.35325478,10,454.1302711,2810,19.76900478,,10-Dec-17,02-Dec-18,11.52081215,92886.09863,52,314667,287462,155.0473269,10,454.1302711,3467.979553,19.76900478,,11-Dec-16,03-Dec-17,0,0,52,315772,309769.2909,0,0,0,2677.81696,0,
Sales,Refrigerator,National,OOH Duvar ALL,OOH,Media,882289,0,2573.941388,1,0,4457658.352,4457658.352,5389689.131,83.3769365,0,166.4217888,0.000038,2,1,0,0,7585.813251,11378.71988,"11,379",15171.6265,14048.56592,21072.84887,21072.84887,28097.13183,Spends,CPP,06-Dec-15,02-Dec-18,1,4457658.352,157,882289,838007.7575,28392.72836,97,10069.63768,2810,7.709292643,,10-Dec-17,02-Dec-18,1,3673099.736,52,314667,287462,70636.53339,52,8653.727992,3467.979553,8.217164422,,11-Dec-16,03-Dec-17,1,784558.6161,52,315772,309769.2909,15087.66569,45,1207.674563,2677.81696,4.706371988,
Sales,Refrigerator,National,OOH Totem ALL,OOH,Media,882289,0,2573.941388,1,0,1332990.741,1332990.741,1618785.348,74.66411998,0,13.1894258,9.43E-05,2,1,0,0,3211.459689,6175.884017,"9,799",14822.12164,3211.459689,6175.884017,9799.069307,14822.12164,Spends,Other,06-Dec-15,02-Dec-18,0.25,55541.28086,157,882289,838007.7575,1415.064481,120,1268.834186,3032,69.26569195,,10-Dec-17,02-Dec-18,0.25,10585.33702,52,314667,287462,814.2566937,52,549.7683815,3467.979553,157.4723346,,11-Dec-16,03-Dec-17,0.25,36577.80765,52,315772,309769.2909,2813.677511,52,668.4480521,2677.81696,55.40885648,
Sales,Refrigerator,National,PR and Sponsorship,PR,Media,882289,0,2573.941388,1,0,2967058.45,2967058.45,3604192.214,66.4244143,1,58.54660701,0.000083,2,1,0,0,3792.906626,7585.813251,"11,379",18964.53313,3792.906626,7585.813251,11378.71988,18964.53313,Spends,CPP,06-Dec-15,02-Dec-18,1,2967058.45,157,882289,838007.7575,18898.46147,123,6613.81663,2810,6.279437479,,10-Dec-17,02-Dec-18,1,1424588.613,52,314667,287462,27395.93487,40,2283.696068,3467.979553,5.211901021,,11-Dec-16,03-Dec-17,1,558500.5152,52,315772,309769.2909,10740.39452,40,2351.705795,2677.81696,11.55489238,
Sales,Refrigerator,National,TV M Derin Dondurucu Kampanya,TV M,Media,882289,0,2573.941388,1,0,1380420.6,931.64,2847.462047,14.9964979,0,1543.391757,0.00345,2,1,0,0,45814.2326,87774.93163,"139,155",210659.8359,35.00853684,67.0724304,106.3343409,160.973833,GRPs,CPP,06-Dec-15,02-Dec-18,1481.710317,1380420.6,157,882289,838007.7575,5.934012739,6,6573.478279,2810,13.43998399,,10-Dec-17,02-Dec-18,1308.65888,488483.1,52,314667,287462,7.178269231,2,2936.000908,3467.979553,20.39386537,,11-Dec-16,03-Dec-17,0,0,52,315772,309769.2909,0,0,3.3025757,2677.81696,0,
Sales,Refrigerator,National,TV M Enerji Kampanyasi,TV M,Media,882289,0,2573.941388,1,0,392742.02,230.6746667,461.3493334,4.746089534,0,1460.517941,0.003805,2,1,0,0,82575.11864,158339.9182,"251,131",379675.2878,48.5,93,147.5,223,GRPs,CPP,06-Dec-15,02-Dec-18,1702.579766,392742.02,157,882289,838007.7575,1.469265393,3,1270.16737,2810,10.46116871,,10-Dec-17,02-Dec-18,1702.579766,392742.02,52,314667,287462,4.436051283,3,1270.16737,3467.979553,10.46116871,,11-Dec-16,03-Dec-17,0,0,52,315772,309769.2909,0,0,0,2677.81696,0,
Sales,Refrigerator,National,TV M Fiyat & Promosyon,TV M,Media,882289,0,2573.941388,1,0,1989641.117,1332.833,4550.576382,10.44299931,0,339.6202624,0.002487,2,1,0,0,53563.55874,103146.0422,"163,224",246464.7534,43.34819755,83.47456961,132.0948452,199.4602874,GRPs,CPP,06-Dec-15,02-Dec-18,1492.791008,1989641.117,157,882289,838007.7575,8.489382165,13,2159.190364,2810,2.85126364,,10-Dec-17,02-Dec-18,1235.658269,344054.217,52,314667,287462,5.354576923,2,418.4619674,3467.979553,3.902018422,,11-Dec-16,03-Dec-17,1804.038462,808642.2,52,315772,309769.2909,8.619999999,5,709.6491822,2677.81696,2.314446672,
Sales,Refrigerator,National,TV M Imaj,TV M,Media,882289,0,2573.941388,1,0,3664489.23,2014.927667,6740.813651,22.74217633,0,982.036362,0.002384,2,1,0,0,73831.06507,142388.4826,"225,329",340869.3978,46.03284955,88.77763842,140.4898655,212.5282859,GRPs,CPP,06-Dec-15,02-Dec-18,1818.670362,3664489.23,157,882289,838007.7575,12.83393418,11,8707.747694,2810,8.018599667,,10-Dec-17,02-Dec-18,1603.877791,2365244.46,52,314667,287462,28.3596859,8,6393.265543,3467.979553,10.03762301,,11-Dec-16,03-Dec-17,0,0,52,315772,309769.2909,0,0,0.000513384,2677.81696,0,
Sales,Refrigerator,National,TV NM Derin Dondurucu Kampanya,TV NM,Media,882289,0,2573.941388,1,0,369385.8,242.2201967,294.2338918,4.863001473,0,3709.948807,0.00836,2,1,0,0,56493.69928,106710.3209,"168,226",254849.3545,37.04504871,69.9739809,110.3119228,167.1143309,GRPs,CPP,06-Dec-15,02-Dec-18,1525,369385.8,157,882289,838007.7575,1.542803801,5,1493.329751,2810,10.28374427,,10-Dec-17,02-Dec-18,1525,79011.6,52,314667,287462,0.996363178,2,496.2773927,3467.979553,19.72126069,,11-Dec-16,03-Dec-17,0,0,52,315772,309769.2909,0,0,0,2677.81696,0,
Sales,Refrigerator,National,TV NM FIC,TV NM,Media,882289,0,2573.941388,1,0,780476.262,511.7877128,747.1138163,17.35572994,0,159.9312144,0.022246,2,1,0,0,17759.13678,33428.96335,"52,233",79393.78796,11.64533559,21.92063171,34.25098704,52.0615003,GRPs,CPP,06-Dec-15,02-Dec-18,1525,780476.262,157,882289,838007.7575,3.259794349,18,1821.648917,2810,7.256276303,,10-Dec-17,02-Dec-18,1525,679646.1275,52,314667,287462,8.570569073,14,1470.399303,3467.979553,7.021656638,,11-Dec-16,03-Dec-17,1525,100830.1346,52,315772,309769.2909,1.271502328,4,351.2496142,2677.81696,8.837731558,
Sales,Refrigerator,National,TV NM Imaj,TV NM,Media,882289,0,2573.941388,1,0,1270691.9,833.2405902,1437.614416,15.16799639,0,178.2983422,0.015092,2,1,0,0,22097.23076,41542.79383,"65,408",99879.48304,14.48998738,27.24117628,42.89036266,65.49474298,GRPs,CPP,06-Dec-15,02-Dec-18,1525,1270691.9,157,882289,838007.7575,5.307264906,17,1801.441921,2810,3.969021533,,10-Dec-17,02-Dec-18,1525,299131.26,52,314667,287462,3.772147037,8,477.9682852,3467.979553,6.090651339,,11-Dec-16,03-Dec-17,1525,348675.6,52,315772,309769.2909,4.396918033,3,464.9039766,2677.81696,3.294994967,
Sales,Cooking,National,CINEMA,CINEMA,Media,1155320,0,4730.285353,1,0,416759.44,2642.125715,3209.488481,0.012053456,0,537.2611059,0.00275,2,1,0,0,17400.20731,33501.8917,52979.73571,79859.16045,110.3119228,212.3916126,335.8751083,506.2823324,Spends,CPP,06-Dec-15,02-Dec-18,157.7364157,416759.44,157,1155320,1091214.895,16.82882621,16,2962.516428,1055.84953,6.971932952,,10-Dec-17,02-Dec-18,166.2496454,133614.84,52,346151.9099,328461.3362,15.45576923,4,845.8206559,1224.87,6.549162843,,11-Dec-16,03-Dec-17,250.1272099,131857.06,52,420224.916,397811.2188,10.13769231,3,605.6829379,1075.28,4.896725808,
Sales,Cooking,National,Digital - Display MC,DIGITAL,Media,1155320,0,4730.285353,1,0,3098013.913,67686.8553,69870.30224,0.007753607,1,470.7693479,0.0012,2,1,0,0,13479.20646,26115.96252,41368.74878,62518.68787,294.5,570.59375,903.84375,1365.9375,Impressions,CPP,06-Dec-15,02-Dec-18,45.76980123,3098013.913,157,1155320,1091214.895,431.1264669,90,10766.17109,1055.84953,3.404016607,,10-Dec-17,02-Dec-18,40.36932869,120103.25,52,346151.9099,328461.3362,56.13417736,9,518.4358959,1224.87,5.248085555,,11-Dec-16,03-Dec-17,25.65635636,709973.9922,52,420224.916,397811.2188,532.1623154,36,3791.595495,1075.28,5.775096892,
Sales,Cooking,National,Digital - VOD MC,DIGITAL,Media,1155320,0,4730.285353,1,0,457944.35,9810.272,11916.90268,0.043607075,1,900.812462,0.000517034,2,1,0,0,27130.26362,52569.68929,83312.19766,126044.2842,581.1956531,1126.169481,1784.748125,2700.172439,Impressions,CPP,06-Dec-15,02-Dec-18,46.68008695,457944.35,157,1155320,1091214.895,62.48580892,41,2653.426933,1055.84953,6.347263058,,10-Dec-17,02-Dec-18,52.87103894,129576.025,52,346151.9099,328461.3362,46.24139623,5,515.6306035,1224.87,4.845407252,,11-Dec-16,03-Dec-17,44.90253551,315768.325,52,420224.916,397811.2188,135.2366346,32,1952.480962,1075.28,6.702377107,
Sales,Cooking,National,Digital - YouTube COOKING,DIGITAL,Media,1155320,0,4730.285353,1,0,124118.0441,7851.528,8104.803096,0.013338502,0,1036.880954,0.00048789,2,1,0,0,11454.97255,22205.49491,35176.56677,53216.61712,724.625,1404.6875,2225.21875,3366.40625,Impressions,CPP,06-Dec-15,02-Dec-18,15.80813876,124118.0441,157,1155320,1091214.895,50.00973248,11,1464.18625,1055.84953,14.04465371,,10-Dec-17,02-Dec-18,15.77156041,112131.9305,52,346151.9099,328461.3362,134.1463208,10,1242.103001,1224.87,13.24361499,,11-Dec-16,03-Dec-17,16.15873546,11986.11368,52,420224.916,397811.2188,14.26486538,1,222.083249,1075.28,21.53849366,
Sales,Cooking,National,OOH Duvar ALL,OOH,Media,1155320,0,4730.285353,1,0,1430846.912,1430846.912,1737056.893,17.16764407,0,87.24985506,0.000026,2,1,0,0,13190.95705,26381.91409,39572.87114,52763.82818,13190.95705,26381.91409,39572.87114,52763.82818,Spends,CPP,06-Dec-15,02-Dec-18,1,1430846.912,157,1155320,1091214.895,9113.674601,97,1661.340795,1055.84953,1.312997322,,10-Dec-17,02-Dec-18,1,646288.2963,52,346151.9099,328461.3362,12194.1188,52,647.4328289,1224.87,1.194758477,,11-Dec-16,03-Dec-17,1,784558.6161,52,420224.916,397811.2188,15087.66569,45,1013.907966,1075.28,1.410397797,
Sales,Cooking,National,PR and Sponsorship,PR,Media,1155320,0,4730.285353,1,0,2967058.45,2967058.45,3164862.338,24.52793564,1,121.6613394,0.000033,2,1,0,0,8388.251306,25164.75392,33553.00523,41941.25653,8388.251306,25164.75392,33553.00523,41941.25653,Other,CPP,06-Dec-15,02-Dec-18,1,2967058.45,157,1155320,1091214.895,18898.46147,123,10414.56052,1055.84953,3.796368259,,10-Dec-17,02-Dec-18,1,1424588.613,52,346151.9099,328461.3362,26879.03044,40,3855.329611,1224.87,3.18605209,,11-Dec-16,03-Dec-17,1,558500.5152,52,420224.916,397811.2188,10740.39452,40,3485.173975,1075.28,6.865394917,
Sales,Cooking,National,PRINT,PRINT,Media,1155320,0,4730.285353,1,0,229198.4731,176.0000006,176.0000006,24.78698312,0,23.68725329,0.238832,2,1,0,0,2516.475392,4194.125653,5871.775915,16776.50261,1.932384909,3.220641515,4.508898121,12.88256606,Other,CPP,06-Dec-15,02-Dec-18,1302.264047,229198.4731,157,1155320,1091214.895,1.121019112,61,769.0796483,1055.84953,3.47440704,,10-Dec-17,02-Dec-18,1602.749733,88151.23656,52,346151.9099,328461.3362,1.037735864,17,238.9968223,1224.87,3.023818474,,11-Dec-16,03-Dec-17,1195.364529,78739.81828,52,420224.916,397811.2188,1.266749378,19,294.8499274,1075.28,3.969150195,
Sales,Cooking,National,TV M Ankastre Set & Satis Kampanyasi,TV M,Media,1155320,0,4730.285353,1,0,997548.3,557,1901.716955,10.88606726,0,198.2770514,0.002534737,2,1,0,0,76059.95372,146349.842,231851.721,350924.8899,42.46951673,81.71720805,129.4588027,195.9455634,GRPs,CPP,06-Dec-15,02-Dec-18,1790.930521,997548.3,157,1155320,1091214.895,3.547770701,4,4758.649232,1055.84953,5.14102369,,10-Dec-17,02-Dec-18,0,0,52,346151.9099,328461.3362,0,1,0.027032951,1224.87,0,,11-Dec-16,03-Dec-17,1790.930521,997548.3,52,420224.916,397811.2188,10.71153846,4,4758.622199,1075.28,5.140990763,
Sales,Cooking,National,TV M Ankastre Set Kampanyasi,TV M,Media,1155320,0,4730.285353,1,0,3054841.521,1667.447667,5693.02134,6.196955278,0,1833.566529,0.002208583,2,1,0,0,89074.6165,172246.6982,272589.7903,411567.6558,48.6202837,94.01874137,148.7897839,224.6491422,GRPs,CPP,06-Dec-15,02-Dec-18,1832.046416,3054841.521,157,1155320,1091214.895,10.62068577,18,9973.827318,1055.84953,3.272013698,,10-Dec-17,02-Dec-18,1627.782609,471731.4,52,346151.9099,328461.3362,5.467924528,2,2238.662177,1224.87,4.924553444,,11-Dec-16,03-Dec-17,1854.308663,809758.05,52,420224.916,397811.2188,8.397884615,4,2832.267979,1075.28,3.797172756,
Sales,Cooking,National,TV M Ceyiz Kampanyasi,TV M,Media,1155320,0,4730.285353,1,0,398844.39,211.295,721.3686297,8.662562055,1,646.6776133,0.003931158,2,1,0,0,65658.51095,125729.0635,199071.0172,301749.7525,34.78377888,66.60723615,105.4614572,159.8573668,GRPs,CPP,06-Dec-15,02-Dec-18,1887.618685,398844.39,157,1155320,1091214.895,1.345828025,2,1120.514565,1055.84953,3.315603816,,10-Dec-17,02-Dec-18,1887.618685,398844.39,52,346151.9099,328461.3362,3.986698113,2,1120.514565,1224.87,3.315603816,,11-Dec-16,03-Dec-17,0,0,52,420224.916,397811.2188,0,0,0,1075.28,0,
Sales,Cooking,National,TV M Fiyat & Promosyon,TV M,Media,1155320,0,4730.285353,1,0,1253346.45,878.38,3187.51576,13.19228085,0,485.210076,0.002515078,2,1,0,0,57407.89868,110883.7495,175369.3343,264626.8206,40.23304971,77.71041108,122.9036998,185.457825,GRPs,CPP,06-Dec-15,02-Dec-18,1426.884094,1253346.45,157,1155320,1091214.895,5.59477707,9,3062.390734,1055.84953,2.4525246,,10-Dec-17,02-Dec-18,1529.623473,416401.75,52,346151.9099,328461.3362,5.136320755,3,793.542735,1224.87,2.61995004,,11-Dec-16,03-Dec-17,0,0,52,420224.916,397811.2188,0,0,3.54E-07,1075.28,0,
Sales,Cooking,National,TV M Imaj,TV M,Media,1155320,0,4730.285353,1,0,561351.64,339.4053333,1158.79999,8.140762658,0,973.0170737,0.003120885,2,1,0,0,57162.14539,109964.4662,173908.5609,263042.7539,34.56146848,66.48689276,105.1488744,159.0413338,GRPs,CPP,06-Dec-15,02-Dec-18,1653.926986,561351.64,157,1155320,1091214.895,2.16181741,3,2236.184755,1055.84953,4.17081732,,10-Dec-17,02-Dec-18,1653.926986,561351.64,52,346151.9099,328461.3362,6.403874213,3,2236.184755,1224.87,4.17081732,,11-Dec-16,03-Dec-17,0,0,52,420224.916,397811.2188,0,0,0,1075.28,0,
