Dependent Variable,Product,Geography,Variables,Detailed Group,Broad Group,Historical Dep. Variable Sum,Take Rate Elasticity,Base in Latest Week,Life Curve in Latest Week,Life Curve Annual Decay Rate,Historical Spend Full Model Period,Historical Raw Causal Sum Full Model Period,"Historical Causal Sum After Adstocking, Full Model Period",Historical Causal Sum After Adstocking And Curve Applied,Corporate Activity,Coefficient,Driver1,Symmetry,Volume1,Linearity Increment,Linearity Weight,SPEND_A,SPEND_B,SPEND_C,SPEND_D,SUPPORT_A,SUPPORT_B,SUPPORT_C,SUPPORT_D,Media Metric,Start Date_Full_Model,End Date_Full_Model,Spends_Full_Model,Number of Weeks_Full_Model,Total Sales_Full_Model,Total Base Sales_Full_Model,Avg Causal Raw_Full_Model,Execution Weeks_Full_Model,Decomps_Full_Model,MSRP_Full_Model,ST ROI_Full_Model,Elasticity_Full_Model,Start Date_Latest_Year,End Date_Latest_Year,Spends_Latest_Year,Number of Weeks_Latest_Year,Total Sales_Latest_Year,Total Base Sales_Latest_Year,Avg Causal Raw_Latest_Year,Execution Weeks_Latest_Year,Decomps_Latest_Year,MSRP_Latest_Year,ST ROI_Latest_Year,Elasticity_Latest_Year,Start Date_Prior_Year,End Date_Prior_Year,Spends_Prior_Year,Number of Weeks_Prior_Year,Total Sales_Prior_Year,Total Base Sales_Prior_Year,Avg Causal Raw_Prior_Year,Execution Weeks_Prior_Year,Decomps_Prior_Year,MSRP_Prior_Year,ST ROI_Prior_Year,Elasticity_Prior_Year
Sales,Clio,National,Customer Discount,PROMOTION,Promotion,23255,0.5,45.87187153,1,0,45640460.07,1257799.649,1257799.649,277.2420109,0,26.22384183,0.000764028,2,1,0.000458846,0.5,0,0,0,0,0,0,0,0,0,42008,43184,45640460.07,169,23255,12745.12349,7442.601471,169,4057.501401,13414.75621,1.196473343,,42827,43184,12782811,52,6631,3094.222232,7430.90084,52,1245.572733,13558.00588,1.325066678,,42463,42820,12052094.36,52,6056,2894.314996,7707.704508,52,1308.306703,13518.96695,1.471031237,
Sales,Clio,National,Customer Value,PROMOTION,Promotion,23255,0.5,45.87187153,1,0,845521.84,28132.4858,28132.4858,214.231852,0,1.584750487,0.034222206,2,1,0.020552529,0.5,0,0,0,0,0,0,0,0,0,42008,43184,845521.84,169,23255,12745.12349,166.4644131,106,231.4825005,13414.75621,3.718800196,,42827,43184,364076,52,6631,3094.222232,359.3506654,18,138.0393723,13558.00588,5.214113163,,42463,42820,27357.37,52,6056,2894.314996,18.96894627,27,8.877443526,13518.96695,4.381147158,
Sales,Clio,National,RCI Credit Ballon,PROMOTION,Promotion,23255,0.5,45.87187153,1,0,592302.94,19890.95246,19890.95246,254.7379463,0,0.188725901,0.060798033,2,1,0.03651294,0.5,0,0,0,0,0,0,0,0,0,42008,43184,592302.94,169,23255,12745.12349,117.6979435,167,198.8073009,13414.75621,4.522547036,,42827,43184,166313.39,52,6631,3094.222232,154.6536228,52,69.99591719,13558.00588,5.723509612,,42463,42820,145723.13,52,6056,2894.314996,115.3953141,51,68.15003597,13518.96695,6.33768652,
Sales,Clio,National,RCI Credit No Ballon,PROMOTION,Promotion,23255,0.5,45.87187153,1,0,3441451.37,98580.07015,98580.07015,275.8722658,0,0.527977048,0.010176744,2,1,0.006111758,0.5,0,0,0,0,0,0,0,0,0,42008,43184,3441451.37,169,23255,12745.12349,583.3140245,169,193.1748004,13414.75621,0.75569786,,42827,43184,980661.15,52,6631,3094.222232,651.2101851,52,68.92281557,13558.00588,0.956663108,,42463,42820,901603.15,52,6056,2894.314996,613.5500316,52,61.62050464,13518.96695,0.92740352,
Sales,Clio,National,RCI0,PROMOTION,Promotion,23255,0.5,45.87187153,1,0,1640481.01,30083.50928,30083.50928,264.9446858,0,0.581360035,0.03202418,2,1,0.01923248,0.5,0,0,0,0,0,0,0,0,0,42008,43184,1640481.01,169,23255,12745.12349,178.0089306,132,462.4676025,13414.75621,3.773675757,,42827,43184,233819.07,52,6631,3094.222232,119.9883282,40,90.63256074,13558.00588,5.250387999,,42463,42820,322818.07,52,6056,2894.314996,139.1789924,38,114.9282094,13518.96695,4.816553299,
Sales,Clio,National,Scrappage,PROMOTION,Promotion,23255,0.5,45.87187153,1,0,3058049,37672.07901,37672.07901,132.1527734,0,4.843040413,0.01430485,2,1,0.008590938,0.5,0,0,0,0,0,0,0,0,0,42008,43184,3058049,169,23255,12745.12349,222.9117101,17,441.617696,13414.75621,1.955828021,,42827,43184,3058049,52,6631,3094.222232,724.4630578,17,441.617696,13558.00588,1.955828021,,42463,42820,0,52,6056,2894.314996,0,0,0,13518.96695,0,
Sales,Clio,National,Stock Clearence,PROMOTION,Promotion,23255,0.5,45.87187153,1,0,733938.3016,35099.99845,35099.99845,221.4805331,0,0.107149154,0.027300305,2,1,0.016395504,0.5,0,0,0,0,0,0,0,0,0,42008,43184,733938.3016,169,23255,12745.12349,207.6922985,114,47.85975946,13414.75621,0.883159984,,42827,43184,356420,52,6631,3094.222232,211.5339256,40,16.84002206,13558.00588,0.6428587,,42463,42820,352682.02,52,6056,2894.314996,437.2138211,39,29.51500805,13518.96695,1.131322207,
Sales,Clio,National,Trade In,PROMOTION,Promotion,23255,0.5,45.87187153,1,0,17063855.23,475269.169,475269.169,277.6052195,0,12.8597358,0.002011451,2,1,0.001207999,0.5,0,0,0,0,0,0,0,0,0,42008,43184,17063855.23,169,23255,12745.12349,2812.243603,169,2036.9937,13414.75621,1.605864495,,42827,43184,4428187,52,6631,3094.222232,2884.133451,52,646.9708119,13558.00588,1.988005169,,42463,42820,4460228.6,52,6056,2894.314996,2727.731559,52,600.2597477,13518.96695,1.822910178,
Sales,Clio,National,Trade In Alternative,PROMOTION,Promotion,23255,0.5,45.87187153,1,0,17063855.23,475269.169,475269.169,277.6052195,0,12.8597358,0.002011451,2,1,0.001207999,0.5,0,0,0,0,0,0,0,0,0,42008,43184,17063855.23,169,23255,12745.12349,2812.243603,169,2036.9937,13414.75621,1.605864495,,42827,43184,4428187,52,6631,3094.222232,2884.133451,52,646.9708119,13558.00588,1.988005169,,42463,42820,4460228.6,52,6056,2894.314996,2727.731559,52,600.2597477,13518.96695,1.822910178,
Sales,Clio,National,Volume,PROMOTION,Promotion,23255,0.5,45.87187153,1,0,16512607.36,483386.5451,483386.5451,277.1492108,0,7.96926509,0.001977494,2,1,0.001187606,0.5,0,0,0,0,0,0,0,0,0,42008,43184,16512607.36,169,23255,12745.12349,2860.275415,169,1071.1795,13414.75621,0.873215817,,42827,43184,5088716,52,6631,3094.222232,3182.847808,52,378.4513957,13558.00588,1.012232704,,42463,42820,4421522.663,52,6056,2894.314996,2815.016047,52,317.339823,13518.96695,0.972024725,
